0,1,2,3,4
La Torada Ampliación,Burgos,Merindad de Valdivieso,ACCIONA ENERGÍA,2.55
Magaña,Soria,Oncala,CETASA,24.75
Peña Alta Ampliación,Burgos,Los Altos,ACCIONA ENERGÍA,3.40
San Ciprián,Zamora,Lubián y Hermisende,ACCIONA ENERGÍA,17.85
Sistral,Zamora,Pías y Porto,ACCIONA ENERGÍA,8.50
Villacastín,Segovia,Villacastín y Santa María el Cubillo,Parque eólico Altos de Voltoya. S.A.,14.52
Aerogenerador I+D Gamesa,Zamora,Pías,ACCIONA ENERGÍA,2.00
Aguallal Ampliación I,Zamora,Lubián y Pías,ACCIONA ENERGÍA,2.00
Aguallal Ampliación II,Zamora,Lubián y Pías,ACCIONA ENERGÍA,22.95
Altos de Cartagena,Ávila,Las Navas del Marqués,PE Monte las Navas,21.12
Carrasquillo,Palencia,Astudillo y Pedrosa del Príncipe,IBERDROLA RENOVABLES,49.30
El Cerro Ampliación,Burgos,Valle de Sedano y los Altos de Dobro,ACCIONA ENERGÍA,10.20
La Gamoneda Ampliación,Zamora,Lubián y Hermisende,ACCIONA ENERGÍA,29.75
La Ruya I+D,Palencia,Aguilar del Campoo,BOREAS TECNOLOGÍAS,1.60
Labradas I,Zamora,Villaferrueña y Arrabalde,IBERDROLA RENOVABLES,23.80
Navas del Marqués,Ávila,Las Navas del Marqués,PE Monte las Navas,10.56
Navazuelo,Ávila,Las Navas del Marqués,PE Monte las Navas,17.16
Otero y Peña la Cuesta,Burgos,Los Altos,BURGALESA,4.80
Páramo de Poza I,Burgos,Poza de la Sal,EÓLICAS PÁRAMO DE POZA. S.A.,49.50
Páramo de Poza II,Burgos,Poza de la Sal,EÓLICAS PÁRAMO DE POZA. S.A.,48.74
Castilfrío,Soria,Castilfrio,CETASA,24.75
Cinseiro,Zamora,Lubián,Cinseiro. S.L.,12.00
El Cayo,Soria,Oncala. Huérteles y S.Pedro Manrique,CETASA,24.75
El Manzanal,León,Brazuelo,E.E. DEL BIERZO,33.75
El Navazo Fase I,Burgos,Pedrosa del Príncipe,IBERDROLA RENOVABLES,29.75
El Navazo Fase II,Burgos,Pedrosa del Príncipe y Castrojériz Astudillo,IBERDROLA RENOVABLES,8.80
Hedroso-Aciberos,Zamora,Lubián,Ibereólica Hedroso-Aciberos. S.A.U.,31.45
Labradas I Ampliación,Zamora,Villaferrueña. Arrabalde. Villagería y Alcubilla,IBERDROLA RENOVABLES,12.75
Padornelo,Zamora,Lubián,Ibereólica Hedroso-Aciberos 2. S.A.U.,31.45
Rabinaldo,Burgos,Merindad de rio Ubierna,PARQUES DE GENERACIÓN EÓLICA. S.L.,9.00
San Pedro (Unificado el manzanal),León,Castropodame y Torre,E.E. DEL BIERZO,7.50
Sierra del Cortado,Soria,Tajahuerce y Almenar de Soria,P.E.S. MADERO,18.48
Valbonilla Fase I,Burgos,Castrojériz,IBERDROLA RENOVABLES,4.25
Valbonilla Fase II,Burgos,Castrojériz,IBERDROLA RENOVABLES,6.85
Valmediano,Zamora,Tábara y Faramontanos,IBERDROLA RENOVABLES,34.00
Aerogenerador Experimental G-87 (Lubián),Zamora,Lubián,Ibereólica Investigación y Desarrollo. S.L.,2.00
Chambón Fase 1,Palencia,Astudillo,IBERDROLA RENOVABLES,21.25
Chambón Fase 2,Palencia,Astudillo,IBERDROLA RENOVABLES,11.90
Cruz de Hierro Ampliación,Ávila,Sta. Maria del Cubillo,Parque eólico Altos de Voltoya. S.A.,6.60
El Redondal Fase 1,León,Castropodame y Turienzo Castañero,OLIVENTO. S.L.,14.45
El Teruelo,Palencia,Melgar de Yuso. Villodré y Astudillo,IBERDROLA RENOVABLES,43.35
Hontalbilla I,Soria,Frechilla Almazán. Baraona y Villasayas,IBERDROLA RENOVABLES,36.55
Hontalbilla II,Soria,Adradas y Baraona,IBERDROLA RENOVABLES,28.90
Juno,Soria,Suellacabras. Narros. Magaña y Aracón,Danta de energías. S.A.,49.50
La Magdalena,Burgos,Merindad de Valdeporres y Valle Valdebezana,IBERDROLA RENOVABLES,23.80
La Sía,Burgos,Espinosa de los Monteros,Boreas Eólica 2. S.A.,29.70
Las Aldehuelas,Soria,Aldehuelas. Vizmanos. Arévalo de la Sierra. La Poveda y Sta. Cruz Yanguas,EXPLOTACIONES EÓLICAS ALDEHUELAS. S.L.,47.20
Luna,Soria,Trévago. Fuentestrún. Valdegeña. Matalebreras y Villar del Campo,Danta de energías. S.A.,49.50
Montija,Burgos,Merindad de Montija,GAS NATURAL FENOSA RENOVABLES,30.80
Nerea,Zamora,Requejo y Pedralba de la Pradería,GEZA,39.75
Piedras del Alto,Segovia,Aldeanueva de la Serrezuela. Navares de Enmedio. Navares de las Cuevas y Pradales,ACCIONA ENERGÍA,34.00
Sierro,Soria,Retortillo de Soria,IBERDROLA RENOVABLES,19.55
Urano,Soria,Aldehuelas y Villar del Rio,Danta de energías. S.A.,30.40
Valdeporres,Burgos,Valdeporres y Valdebezana,IBERDROLA RENOVABLES,31.45
Villoruebo,Burgos,Villoruevo,EÓLICA ARLANZÓN. S.A.,16.15
Bordecorex Norte,Soria,Bordecorex,IBERDROLA RENOVABLES,44.35
Canalejas,Soria,Montejo Tiermes y Retortillo,IBERDROLA RENOVABLES,18.70
Dos Picos,Palencia,Magaz de Pisuegra,MADE TECNOLOGÍAS RENOVABLES. S.A.,1.60
Dueñas,Palencia,Costrarroleña,IBERDROLA RENOVABLES,3.40
El Redondal Fase 2,León,Castropodame y Turienzo Castañero,OLIVENTO. S.L.,16.15
Grado,Segovia,Ayllón y Montejo de Tiermes,IBERDROLA RENOVABLES,27.20
La Peñuca,Burgos,Merindad Valdeporres y Merindad Sotoscueva,PARQUE EÓLICO LA PEÑUCA. S.L.,33.00
Lubián (Fase I),Zamora,Lubián,Ibereólica Lubián. S.A.U.,36.00
Montejo de Bricia,Burgos,Alfoz de Bricia,Boreas Eólica 2. S.A.,13.60
Sierra de Dueña,Salamanca,Las Veguillas. Membibre de la Sierra. Frades de la Sierra y Pedrosillo de los Aires,IBERDROLA RENOVABLES,31.45
Tarayuela,Soria,Alentisque. Morón de Almazán. Momblona y Soliedra,Biovent Energía Eólica. S.A.,30.00
Tres picos,Palencia,Magaz de Pisuegra,ENERPAL- Gestión y Mantenimiento Eólico del Norte,2.40
Urbel del Castillo II,Burgos,Huérmeneces. Montorio y Urbel del Castillo,Biovent Energía Eólica. S.A.,50.00
Villamiel,Burgos,Villamiel de la Sierra,EÓLICA ARLANZÓN. S.A.,17.85
Aerogenerador experimental G90,Zamora,Lubián,Ibereólica Investigación y Desarrollo. S.L.,2.00
El Perul,Burgos,Valladiego y Urbel del Castillo,P.E. La Boga. S.L.,49.60
Grijota,Palencia,Monzón de Campos,ENERGÍA DE CASTILLA Y LEÓN. S.A. (ENCALSA),4.98
La Brújula,Burgos,Monasterio de Rodilla y Valle de las Navas,EÓLICA LA BRÚJULA. S.A.,29.75
La Lastra,Burgos,Huérmeces,P.E. La Boga. S.L.,11.69
Llanos de San Martín,Burgos,Quintanavides y Castil de Peones,EÓLICA LA BRÚJULA. S.A.,17.85
Los Campillos,Soria,Almazán. Barca y Velamazán,IBERENOVA PROMOCIONES. S.A.,34.00
Los Castríos,Burgos,Espinosa de los Monteros,Los Castríos. S.A.,26.40
Monasterio de Rodilla,Burgos,Monasterio de Rodilla,EÓLICA LA BRÚJULA. S.A.,11.40
Morón de Almazán,Soria,Morón de Almazán y Adradas,ENERGÍA GLOBAL CASTELLANA,50.00
Valpardo,Ávila,Navalperal del Pinares,ACCIONA ENERGÍA,21.25
Veleta,Burgos,Monasterio de Rodilla. Fresno de Rodilla y Santa María del Invierno,EÓLICA LA BRÚJULA. S.A.,14.45
Alconada,Palencia,Ampudia,ENERGÍAS RENOVABLES DEL DUERO. S.L.,4.50
Alentisque,Soria,Alentisque,PEESA EÓLICA. S.L.,46.50
Argañoso,León,Santa Colomba de Samoza y Torre del Bierzo,ENERGÍA GLOBAL CASTELLANA,22.00
Bureba,Burgos,Monasterio de Rodilla. Galbarros. Briviesca. Santa Olalla de Bureba. Reinoso y Quintanavides,ENERGÍA GLOBAL CASTELLANA,12.00
Cantiruela,Burgos,Valle de Sedano,PRORENER,15.00
Cerro Becerril,León,Lucillo y Sta.Coloma de Somoza,Investigación y Desarrollo de Energías Renovables (IDER),14.40
Cerro Blanco,Burgos,Galbarros. Briviesca. Reinoso y Salinillas del Bureba,ENERGÍA GLOBAL CASTELLANA,42.00
Cuesta Mañera,Palencia,Ampudia,RENOVALIA RESERVE,49.50
El Carril,Burgos,castrojériz y Pedrosa del Príncipe,ENERGÍA GLOBAL CASTELLANA,18.00
El Cuadrón,Palencia,Hornillos de Cerrato y Torquemada,ACCIONA ENERGÍA,22.00
El Pedrón (I+II),León,Santa Coloma de Somoza,Investigación y Desarrollo de Energías Renovables (IDER),43.20
Encinedo,Palencia,Hornillos de Cerrato y Baltanás,ACCIONA ENERGÍA,30.00
Era del Pico,León,Mallonseca. Castropodame y T.Bierzo,Investigación y Desarrollo de Energías Renovables (IDER),11.90
Hornillos,Palencia,Hornillos de Cerrato y Baltanás,ACCIONA ENERGÍA,26.00
La Mallada,León,Lucillo,Investigación y Desarrollo de Energías Renovables (IDER),44.80
La Muñeca,Palencia,Ampudia,RENOVALIA RESERVE,40.50
Las Pardas,Burgos,Valle de Sedano,PRORENER,49.50
Los Angostillos,Palencia,Hornillos de Cerrato y Baltanás,ACCIONA ENERGÍA,28.00
Lubián Ampliación,Zamora,Lubián,Ibereólica Lubián. S.A.U.,14.00
Portelrubio,Soria,Fuentelsaz de Soria y Almarza,SOCIEDAD DE ENERGÍA DE CASTILLA Y LEÓN. S.A. (ENCALSA),4.98
San Lorenzo A,Valladolid,Torrelobatón,Parques eólicos San Lorenzo. S.L.U.,48.75
San Lorenzo B,Valladolid,Torrelobatón. Castromonte. Peñaflor de Hornija. San Pelayo y Torrecilla de la Torre,Parques eólicos San Lorenzo. S.L.U.,39.38
Sombrío,Burgos,Huérmeces y Merindad de Río,ENERGÍA GLOBAL CASTELLANA,28.00
Valdepero,Palencia,Fuentes Valdepero y Palencia,GAS NATURAL FENOSA RENOVABLES,30.00
Villalazán,Zamora,Toro,ENERGÍA DE CASTILLA Y LEÓN. S.A. (ENCALSA),4.98
Zorraquín,Soria,Gomyo y Villaciervos,ACCIONA ENERGÍA,12.00
Bullana,Soria,Arcos de Jalón. Almaluez y Medinaceli,IBERCYL,38.00
El Carril II,Burgos,castrojériz y Pedrosa del Príncipe,IBERCYL,10.00
El Coterejón I,Burgos,Merindad de Valdeporres,Energías Renovables del Bierzo (ERBI),16.20
El Coterejón II,Burgos,Merindad de Vadeporres y Valle de Valdebezana,IBERENOVA PROMOCIONES. S.A.,6.00
El Negredo,Burgos,Merindad de Río Ubierna;  Montorio,Energías Naturales Molinos de Castilla. S.A.,18.00
Hedroso-Aciberos Ampliación,Zamora,Lubián,Ibereólica Hedroso-Aciberos 2. S.A.U.,14.00
La Calzada,Burgos,Montorio,Energías Naturales Molinos de Castilla. S.A.,32.00
La Cotera,Burgos,Merindad de Valdeporres y Valle de Valdebezana,IBERDROLA RENOVABLES CASTILLA Y LEÓN,18.00
La Lora I,Burgos,La Riba de Valdelucio,P.E. La Boga. S.L.,49.60
La Lora II,Burgos,La Riba de Valdelucio,P.E. La Boga. S.L.,49.60
Lodoso,Burgos,Pedrosa del Río Urbel,P.E. La Boga. S.L.,49.50
Los Concejiles,Salamanca,Sorihuela,EÓLICA SORIHUELA. S.L.,11.69
Lucillo,León,Lucillo,Investigación y Desarrollo de Energías Renovables (IDER),17.60
Marmellar,Burgos,Pedrosa del Río Urbel,P.E. Marmellar. S.L.,49.50
Páramo de Vega,Burgos,Valle de Santibáñez y Huérmeces,IBERCYL,18.00
Páramo los Angostillos,Palencia,Hornillos del Cerrato,ACCIONA ENERGÍA,26.00
Radona I,Soria,Adrada y Alcubilla de las Peñas,IBERDROLA RENOVABLES,24.00
Radona II,Soria,Adrada y Alcubilla de las Peñas,IBERDROLA RENOVABLES,32.00
Valbuena,Burgos,Villafranca Montes de Oca y Cerratón de Juarros,ELECDEY,30.40
Becerril,Palencia,Becerril de Campos,EÓLICA DE LAS PEÑAS,6.00
Caramonte,Soria,Medinaceli,Eólica de Medinaceli. S.L.,55.00
Carrascalejo y Monte Alto,Soria,Medinaceli,Eólica de Medinaceli. S.L.,15.00
Castil de Tierra,Soria,Tejado,PEESA,36.00
Celada V,Palencia,Herrera de Valdecañas y Villahán,ACCIONA ENERGÍA,26.00
Cerros de Radona,Soria,Alcubilla de las Peñas y Medinaceli,Eólica de Radona. S.L.,40.00
Dehesa de Tablares,Palencia,Puebla de Valdivia,Recursos eólicos de valdivia,0.85
El Castre,Palencia,Pedraza de Campos y Torremormojón,ELECDEY,25.60
El Hierro,Zamora,Olmillos de Castro y Santa Eufemia del Barco,GEZA,22.40
Espina,León,La Espina,Parque Eólico Espina. S.L.,18.00
La Caldera,Burgos,Huérmeces y Villadiego,La Caldera Energía Burgos,22.50
Magaz,Palencia,Magaz de Pisuegra y Palencia,Parque Eólico Magaz. S.L.,30.00
Montamarta,Zamora,Montamarta. Palacios del Pan y Andavías,GEZA,22.40
Padornelo Ampliación,Zamora,Lubián,Ibereólica Hedroso-Aciberos. S.A.U.,18.00
Páramo de Poza I Ampliación,Burgos,Poza de la Sal,EÓLICAS PÁRAMO DE POZA. S.A.,0.89
Peña del Gato,León,Torre del Bierzo. Villagatón e Igüeña,Energías Especiales del Alto Ulla. S.A.,50.00
Peña Roldana,Zamora,Santa Eufemia del Barco,GEZA,35.20
Quintanilla,Burgos,Merindad de Río Ubierna,PARQUES DE GENERACIÓN EÓLICA. S.L.,20.00
Sargentes,Burgos,Sargentes de la Lora y Basconcillos del Tozo,P.E. La Boga. S.L.,24.00
Sierra de las Carbas,Zamora,Ferreruela,P.E. Sierra de las Carbas,40.00
Sierra Ministra,Soria,Medinaceli,PEESA,42.00
Valdelín Ampliación,León,Folgoso de la Ribera. Igüeña y Torre del Bierzo,GAS NATURAL FENOSA RENOVABLES,6.00
Alto de la Degollada,Burgos,Castrojériz,GAMESA ENERGÍA,50.00
Arroyal,Burgos,Alfoz de Quintanadueñas,P.E. La Boga. S.L.,46.50
Cabeza Mesá,Ávila,San Juan del Olmo y Vadillo de la Sierra,EÓLICA SIERRA DE ÁVILA. S.L.,29.60
Celada I,Palencia,Hornillos de Cerrato. Torquemada y Herrera de Valdecañas,ACCIONA ENERGÍA,34.00
Cogollos II (Fase A),Burgos,Cogollos,Productor Regional de Energía Renovable. S.A.,44.00
Cogollos II (Fase B),Burgos,Cogollos,Productor Regional de Energía Renovable. S.A.,6.00
Colladillo,Ávila,Valdecasa. Narrillos del Rebollar y Balbarda,EÓLICA SIERRA DE ÁVILA. S.L.,30.60
Cruz de Carrutero Fase A,Palencia,Cardeñosa de Volpejera. Villamuera de la Cueza y Villanueva de Rebollar,Parque eólico Cruz de Carrutero. S.L.,10.90
Cruz de Carrutero Fase B,Palencia,Cardeñosa de Volpejera. Villamuera de la Cueza y Villanueva de Rebollar,Parque eólico Cruz de Carrutero. S.L.,29.10
El Campanario,Burgos,Carcedo de Burgos y Revillarruz,Eólica del Alfoz. S.L.,38.00
El Nogal,Burgos,Carcedo de Burgos y Cardeñadijo,Eólica del Alfoz. S.L.,24.00
El Páramo,Burgos,Alfoz de Quintanadueñas,Energías Naturales Molinos de Castilla. S.A.,24.00
El Rincón,Ávila,San Juan del Olmo y Balbarda,EÓLICA SIERRA DE ÁVILA. S.L.,8.00
Esquileo I,Palencia,Ampudia,ESQUILVENT. S.L.,46.88
Fuentevaín,Burgos,Carcedo de Burgos,Eólica del Alfoz. S.L.,32.00
La Cueza,León,Sahagún,IBERDROLA RENOVABLES,8.00
La Dehesilla I,Palencia,Ampudia,ESQUILVENT. S.L.,46.88
La Dehesilla II,Palencia,Ampudia,ESQUILVENT. S.L.,46.88
La Vega I,Zamora,Monfarracinos,Sociedad gestora de parques eólicos de Castilla y León. S.A.,5.00
La Vega II,Zamora,Monfarracinos,Sociedad gestora de parques eólicos de Castilla y León. S.A.,5.00
Las Fuentes,Burgos,Carcedo de Burgos,Eólica del Alfoz. S.L.,18.00
Las Viñas (Fase A),Burgos,Valle de Santibáñez. Alfoz de Quintanadueñas y Merindad de Río Ubierna,IBERDROLA RENOVABLES,22.10
Las Viñas (Fase B),Burgos,Valle de Santibáñez. Alfoz de Quintanadueñas y Merindad de Río Ubierna,IBERDROLA RENOVABLES,15.90
Los Collados,Burgos,Castrojériz. Villasandino y Sasamon,IBERDROLA RENOVABLES CASTILLA Y LEÓN,11.20
Matabuey,Salamanca,Garcihernández,VIESGO Renovables,16.20
POBLACIÓN DE CERRATO-FASE I (EXPERIMENTAL),Palencia,Cerrato,EOLINCYL. S.L.,0.15
San Lorenzo C,Valladolid,Castromonte. Peñaflor de Hornija y Torrelobatón,BAJOZ EÓLICA S.L.,28.13
San Lorenzo D,Valladolid,Peñaflor de Hornija,HORNUA EÓLICA S.L.,33.75
Valdecarrión,León,Sahagún,IBERDROLA RENOVABLES,34.00
Valdelacasa III,León,Quintana del Castillo y Villagatón-Branuelas,GAS NATURAL FENOSA RENOVABLES,10.80
Valdelín,León,Folgoso de la Ribera,GAS NATURAL FENOSA RENOVABLES,18.00
Valdeperondo,León,Cea y Sahagún,IBERDROLA RENOVABLES,46.00
Valdesamario,León,Riello. Valdesamario y Villagatón,Energías Especiales del Alto Ulla. S.A.,24.00
Ventosa del Ducado (FASE A),Soria,Medinaceli. Yelo y Miño de Medinaceli,IBERCYL,18.00
Ventosa del Ducado (FASE B),Soria,Medinaceli. Yelo y Miño de Medinaceli,IBERCYL,26.00
Bandeleras,Salamanca,Palacios del Arzobispo y Zamayón,P.E. Bandeleras,36.00
Brulles,Burgos,Villadiego,BRULLES EÓLICA S.L.U.,40.00
El Lanchal,Ávila,San Juan de la Nava,ENEL GREEN POWER ESPAÑA S.L.,21.25
Fuente Salada,Burgos,Castellanos de Castro y Sasamón,IBERDROLA RENOVABLES,46.40
Hiperión II,Soria,Suellacabras,VIESGO Renovables,49.94
Layna,Soria,Arcos de Jalón,IBERDROLA RENOVABLES,50.00
Los Llanos (Fase A),Burgos,Cogollos. Hontoria de la Cantera y Revillarruz,Productor Regional de Energías Renovables III. S.A.,13.50
Los Llanos (Fase b),Burgos,Cogollos. Hontoria de la Cantera y Revillarruz,Productor Regional de Energías Renovables III. S.A.,24.50
Los Zapateros,Burgos,Los Balbases y Castrojériz,CYL ENERGÍA EÓLICA S.L.U.,49.40
Peña Nebina,Zamora,Ferreruela,Energías Renovables de Peña Nebina. S.L.,20.00
Pucheruelo,Ávila,San Juan de la Nava,ENEL GREEN POWER ESPAÑA S.L.,22.95
Rodera Alta,Salamanca,Santiz. Valdelosa y Zamayón,P.E. Rodera Alta,34.00
Teso Santo,Salamanca,Santiz y Palacios del Arzobispo,Parque Eólico Teso Santo. S.L.,50.00
Valdihuelo,Ávila,Navalperal del Pinares y Ávila,ENEL GREEN POWER ESPAÑA S.L.,16.15
Alto de Pocillo,Palencia,Monzón de Campos,EÓLICA MIRASIERRA. S.L.,4.00
El Gallo,Burgos,Villaquirán de los Infantes. Villaldemiro. Tamarón y Los Balbases,CYL ENERGÍA EÓLICA S.L.U.,49.40
El Raso,Palencia,Fuentes de Valdepero,Eólica El Raso. S.L.,4.50
El Rebollar,Palencia,Hontoria de Cerrato,EÓLICA MIRASIERRA. S.L.,5.00
La Cotorra,Palencia,Fuentes de Valdepero,EÓLICA MIRASIERRA S.L.,1.50
La Zarzuela,Burgos,Los Balbases. Castrojériz y Vallegera,CYL ENERGÍA EÓLICA S.L.U.,41.80
Las Canteras,Palencia,Monzón de Campos,EÓLICA MIRASIERRA. S.L.,8.00
Monte de Villajimena,Palencia,Monzón de Campos,EÓLICA MIRASIERRA. S.L.,6.00
Peñaflor III,Valladolid,La Mudarra. Castromonte y Peñaflor de Hornija,Bionor,49.00
Peñaflor IV,Valladolid,Peñaflor de Hornija,Bionor,49.00
Quintanilla Sobresierra,Soria,Merindad de Río Ubierna,DENERSA,0.85
Rodal,Palencia,Fuentes de Valdepero,EÓLICA MIRASIERRA. S.L.,4.50
San Adrián,Palencia,Fuentes de Valdepero,EÓLICA MIRASIERRA. S.L.,4.00
Sierra Sesnández,Zamora,Riofrío de Aliste y Ferreruela,ENERGÍAS RENOVABLES SIERRA SESNÁNDEZ. S.L.,20.00
Valdehorno,Palencia,Magaz de Pisuegra,EÓLICA MIRASIERRA. S.L.,8.00
Valdelanave,Zamora,Muelas del Pan,Bionor,10.00
Ágreda,Soria,Ágreda,Parque Eólico Sierra del Madero,18.00
Las Traperas,Valladolid,Medina del Campo,M TORRES DISEÑOS INDUSTRIALES. S.A.,9.90
Peña el Santo,Palencia,Aguilar de Campo,Suministros eólicos. S.L.,2.00
Peña Miján,Palencia,Aguilar del Campoo,SUMINISTROS EÓLICOS DEL NORTE,6.00
Sierra del Cortado Ampliación,Soria,Tajahuerce. Almenar y Pinilla del Campo,Parque Eólico Sierra del Madero,13.50
Parque eólico I+D Mansilla de Burgos,Burgos,Valle de santibañez,GAMESA ENERGÍA,9.00
Alba Torres,Salamanca,Alba de Tormes y Navales,ENERGÍA EÓLICA GAV IA SL,4.50
Ausines,Burgos,Ausines,Parque Eólico los Ausines.S.L. (Grupo Viloria),27.00
Becerril II,Palencia,Becerril de Campos,Parque Eólico Rondavino S.L.U.,2.00
Ampliación Hierro,Zamora,Losacio. Losacino. Carbajales de Alba y Olmillos de Castro,Naturgy Renovables,43.20
Ampliación Llanos,Burgos,Hontoria de la Cantera y Cogollos,ENEL GREEN POWER ESPAÑA S.L.,20.00
Ampliación Montejo,Burgos,Valle de Valdebezana,Boreas Eólica 2. S.A.,6.60
Ballestas,Burgos,Castrojeriz Y Vallejera,Sistemas Energéticos Serra de Lourenzá. S.A.U./ SGRE,41.58
Carrecastro,Valladolid,Tordesillas y Velliza,Energía Eólica de Castilla,10.00
Casetona,Burgos,Castrojeriz Y Vallejera,Sistemas Energéticos Jaralón. S.A.U./ SGRE,27.72
El Poleo,Valladolid,Castromonte y Valverde de Campos,WPD Parque Eólico El Poleo. S.L.U.,48.51
Las Panaderas,Valladolid,Castromonte. Valverde de Campos y La Mudarra,WPD Parque Eólico Las Panaderas. S.L.U.,45.05
Navillas,Valladolid,La Mudarra. Valdenebro de los Valles. Valladolid y Villalba de los Alcores,WPD Parque Eólico Navillas. S.L.U.,41.58
San Blas I y II,Valladolid,Castromonte. Valverde de Campos. Valdenebro de los Valles y La Mudarra,Naturgy Renovables,39.60
Teso Pardo,Valladolid,Valverde de Campos y Castromonte,Naturgy Renovables,36.30
Torozos A,Valladolid,Castromonte.Torrelobatón. Torrecilla de la Torre y Barruelo,Naturgy Renovables,41.80
Torozos B,Valladolid,Torrelobatón. Berceruelo. Velilla y Villasexmir,Naturgy Renovables,33.00
Torozos C,Valladolid,Torrelobatón. Castrodeza. Berceruelo y Velliza,Naturgy Renovables,39.60
Carratorres,Valladolid,Valdenebro de los Valles,Naturgy Renovables,39.60
Corralnuevo (Torozos II),Valladolid,Villalba de los Alcores. Valdenebro de los Valles y Valladolid,Wpd Parque Eolico Corralnuevo Sl.,41.58
Encinillas,Palencia,Paredes de Nava,Parque Eólico Encinillas. S.L.,23.38
Mirabel,Valladolid,Valverde de Campos. Castromonte. Valdenebro de los Valles y La Mudarra,Naturgy Renovables,26.40
Parideras,Soria,Beltejar. Medinaceli,Sociedad promotora:,23.10
Quintanilla II,Burgos,Merindad de Río Ubierna,EDP Renovables España. S.L.,9.99
La Huesa,Burgos,Isar. Las Quintanillas. Estepar. Rabé de las Calzadas,PEACHE ENERGIAS RENOVABLES SA,18.00
Las Tadeas,Palencia,Paredes de Nava; Cardeñosa de la Volpejera,Parque Eólico Las Tadeas. S.L.A.,39.05
PE Las Viñas-Fuenteblanca,Burgos,Merindad del Rio Ubierna. Valle de Santibañez,Iberdrola Renovables Castilla y León,10.40
PE Orbaneja,Burgos,Isar. Las Quintanillas. Estepar. Rabé de las Calzadas,PEACHE ENERGIAS RENOVABLES SA,31.50
PE Valdesantos,Burgos,Estepar,PEACHE ENERGIAS RENOVABLES SA,13.50
Perdiguera,Burgos,Medinilla de la Dehesa,EDP RENOVABLES ESPAÑA. S.L,22.00
Soliedra,Soria,Momblona y Morón de Almazán,Origen Energía y Viento. S.L.U,21.00
Aragón,Zaragoza,La Muela,PARQUE EÓLICO ARAGÓN,5.28
Borja I,Zaragoza,Borja,CEASA,16.20
La Plana III,Zaragoza,La Muela,SISTEMAS ENERGÉTICOS LA MUELA,21.00
El Pilar,Zaragoza,La Muela,CORPORACIÓN EÓLICA DE ZARAGOZA,15.00
La Muela II,Zaragoza,La Muela,EÓLICA VALLE DEL EBRO,13.20
Puntaza de Remolinos,Zaragoza,Remolinos,CEASA,11.73
Valdecuadros (I+D),Zaragoza,La Muela,NEG MICON. SAU,2.10
Muel,Zaragoza,Muel,RWE Innogy Aersa. S.A.U.,16.20
Dehesa del Coscojar,Zaragoza,Plasencia de Jalón,DESARROLLOS EÓLICOS DEL EBRO,15.00
La Muela III,Zaragoza,La Muela,EÓLICA VALLE DEL EBRO,16.50
La Plana II,Zaragoza,La Muela,SISTEMAS ENERGÉTICOS MAS GARULLO,16.50
La Serreta+ampliación la Serreta,Zaragoza,Rueda de Jalón y Plasencia de Jalón,MOLINOS DEL EBRO. S.A.,49.50
Planas de Pola (Tauste),Zaragoza,Tauste y Pradilla de Ebro,CEASA,35.64
La Plana I,Zaragoza,La Muela,SIST. ENERG. LA PLANA,4.15
Sierra Selva I,Zaragoza,Uncastillo,ACCIONA ENERGÍA,18.15
